Minifigure Number,Name,Sold,Upcoming,Cost,Low Value,High Value,Notes
SW0048,Battle Droid Commander,,20,1,,,
SW0051,Yoda,20,,3,,,
SW0051,Yoda,,,3,15,30,
SW0052,Tusken Raider,,,1,7,10,
SW0052,Tusken Raider,,,1,7,10,
SW0052,Tusken Raider,,,1,7,10,
SW0053,Jango Fett,,,35,350,500,
SW0053,Jango Fett,,layaway,18,,,
SW0053,Jango Fett,,,21,0,0,Slave 1 (wrong arms)
SW0054,Boba Fett (Young),,,8,20,50,
SW0054,Boba Fett (Young),,,5,20,50,
SW0059,Zam Wesell,,,5,90,120,
SW0067,Ewok (Paploo),,,,7,15,
SW0067,Ewok (Paploo),,,,7,15,
SW0068,Luke Skywalker (Black hand),,,,7,15,
SW0071,Jabba The Hutt,,,8,25,80,
SW0079,Luke Skywalker,,,3,10,20,
SW0085a,Princess Leia,,,2,15,20,Damage to face
SW0090,Luke Skywalker X-Wing Pilot,,,,7,12,
SW0091,Shock Trooper- Phase 2,,,3,15,25,
SW0091,Shock Trooper- Phase 2,,,3,15,25,
SW0091,Shock Trooper- Phase 2,,,3,15,25,
SW0092,Super Battle Droid,9,,1,,,
SW0092,Super Battle Droid,9,,1,,,
SW0092,Super Battle Droid,7,,0.5,,,
SW0092,Super Battle Droid,9,,0.5,,,
SW0092,Super Battle Droid,,,1,7,9,
SW0095,Battle Droid Pilot (Blue),,,0.5,5,6,
SW0095a,Battle Droid Pilot (Blue),,,,5,6,
SW0096,Battle Droid Security  ,,,0,,,
SW0097,Imperial Stormtrooper- Chrome Silver,,,25,100,200,Damaged legs
SW0099,Anakin Skywalker (Padawan w/cape),,,3,25,60,damaged cape
SW0100,Anakin Skywalker (Padawan),13,,,,,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0101,Snowtrooper,,,1,6,7,
SW0111,Han Solo,,,,25,50,
SW0111,Han Solo,,,,25,50,
SW0113,Leia,,,,9,20,Check for misprint
SW0113,Leia,,,,9,20,
SW0114,Imperial Officer,,,,10,20,
SW0115,Snowtrooper,,,2,7,10,mislabeled as 0568
SW0115,Snowtrooper,,,?,7,10,
SW0118,Clone Trooper V-Wing Pilot (Phase 2),,15,1,,,
SW0118,Clone Trooper V-Wing Pilot (Phase 2),,15,0.5,,,
SW0118,Clone Trooper V-Wing Pilot (Phase 2),,,0.5,10,15,
SW0118,Clone Trooper V-Wing Pilot (Phase 2),,,0.5,,,
SW0118,Clone Trooper V-Wing Pilot (Phase 2),,,0.5,,,
SW0118,Clone Trooper V-Wing Pilot (Phase 2),,,?,,,
SW0119,R7-D4,,,,7,15,
SW0119,R7-D4,,,,7,15,
SW0123,Darth Vader,30,,,,,No Eyebrows
SW0123,Darth Vader,30,,,,,No Eyebrows
SW0123,Darth Vader,,,,20,30,No Eyebrows
SW0126,Clone Trooper,20,,0.5,,,
SW0126,Clone Trooper,,,1,,,wrong helmet. damaged torso. mislabeled as 0036b
SW0126,Clone Trooper ,,,0.5,,,"cracked arm, damaged head"
SW0128A,327th Star Corps Clone Trooper- Phase 2,20,,3,,,
SW0128A,327th Star Corps Clone Trooper- Phase 2,20,,0.5,,,
SW0128A,327th Star Corps Clone Trooper- Phase 2,,20,3,,,
SW0128A,327th Star Corps Clone Trooper- Phase 2,,20,3,,,
SW0128A,327th Star Corps Clone Trooper- Phase 2,,20,3,,,
SW0134,"General Grievous (Brown Cape, Old Version)",,layaway,,100,200,
SW0134A,General Grievous (No cape),,,,15,40,
SW0134A,General Grievous (No cape),,,,15,40,
SW0141,Jawa (With cape),,,2,20,30,
SW0141,Jawa (With cape),,,2,20,30,
SW0141,Jawa (With cape),,,2,20,30,
SW0141,Jawa (With cape),,,2,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0141,Jawa (With cape),,,,20,30,
SW0151,IG-88,,,,6,7,
SW0151,IG-88,,,,6,7,
SW0155,IG-88,,,,6,7,
SW0161a,C-3PO,,7,,,,
SW0161A,C-3PO,,,,7,9,
SW0165,K-3PO,,,,20,40,
SW0166a,Imperial Shadow Trooper,10,,3.5,,,
SW0166a,Imperial Shadow Trooper,15,,1,,,
SW0166a,Imperial Shadow Trooper,15,,1,,,
SW0166b,Imperial Shadow Trooper,15,,1,,,
SW0175,Princess Leia,,,?,,,
SW0177,AT-AT Driver,,,,15,25,
SW0179,Han Solo,,,,10,15,
SW0187,Rebel Scout Trooper,,,,6,7,
SW0187,Rebel Scout Trooper,,,,6,7,
SW0188,Imperial Stormtrooper,,10,1,,,
SW0188,Imperial Stormtrooper,15,,1,,,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,10,,1,,,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,10,,1,,,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,10,,2,,,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,,,1,7,10,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,,,1,7,10,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,,,2,7,10,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,,,1,7,10,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,,,1,7,10,mislabeled as (0036b)
SW0188,Imperial Stormtrooper,,,1,7,10,mislabeled as (0036b)
SW0190,IG-100 MagnaGuard Droid,,40,,,,
SW0190,IG-100 MagnaGuard Droid,,,,20,60,
SW0190,IG-100 MagnaGuard Droid,,,,20,60,
SW0190,IG-100 MagnaGuard Droid,,,,20,60,
SW0190,IG-100 MagnaGuard Droid,,,,20,60,
SW0190,IG-100 MagnaGuard Droid,,,,20,60,
SW0190,IG-100 MagnaGuard Droid,,,,20,60,
SW0192,Ahsoka Tano (Padawan),20,,3,,,
SW0192,Ahsoka Tano (Padawan),,,4,15,20,
SW0193,Rotta,,,,20,40,
SW0194,Captain Rex (Phase 1),,,12,100,200,
SW0194,Captain Rex (Phase 1),,,10,100,200,
SW0194,Captain Rex (Phase 1),,,10,100,200,
SW0194,Captain Rex (Phase 1),,,20,100,200,
SW0194,Captain Rex (Phase 1),,,12.5,100,200,
SW0194,Captain Rex (Phase 1),,,20,100,200,
SW0195,Asajj Ventress,,40,,,,
SW0196,Commander Cody (Phase 1),50,,16,,,
SW0196,Commander Cody (Phase 1),60,,9,,,
SW0196,Commander Cody (Phase 1),,,?,30,60,
SW0196,Commander Cody (Phase 1),,,15,30,60,
SW0196,Commander Cody (Phase 1),,,12,30,60,
SW0196,Commander Cody (Phase 1),,60,8,,,
SW0197,Obi-Wan Kenobi (Large eyes),,,,10,20,
SW0197,Obi-Wan Kenobi (Large eyes),,,,10,20,
SW0200,Clone Trooper (Phase 1),20,,1,,,
SW0200,Clone Trooper (Phase 1),,20,1,,,
SW0200,Clone Trooper (Phase 1),,12,1,,,
SW0200,Clone Trooper (Phase 1),,,1,10,20,
SW0200,Clone Trooper (Phase 1),,,,,,
SW0200,Clone Trooper (Phase 1),,,,,,
SW0200,Clone Trooper (Phase 1) ,,,1,10,20,Wrong head
SW0201,Clone Trooper (Phase 1),20,,1,,,
SW0201,Clone Trooper (Phase 1),20,,1,,,
SW0201,Clone Trooper (Phase 1),15,,1,,,
SW0201,Clone Trooper (Phase 1),,,1,10,20,
SW0201,Clone Trooper (Phase 1),,,2,10,20,
SW0202a,Commander Fox (Phase 1),,,8,160,250,
SW0202a,Commander Fox (Phase 1),,,10.5,160,250,
SW0202a,Commander Fox (Phase 1),,,10.5,160,250,
SW0202a,Commander Fox (Phase 1),,,10,160,250,
SW0202a,Commander Fox (Phase 1),,,10,160,250,
SW0202a,Commander Fox (Phase 1),,,17,160,250,
SW0202a,Commander Fox (Phase 1),,,10,,,
SW0205A,Han Solo Stormtrooper,,,,7,12,
SW0209,Darth Vader (Death Star),20,,4,,,
SW0209,Darth Vader (Death Star),,,,15,30,
SW0209,Darth Vader (Death Star),,,,15,30,
SW0209,Darth Vader (Death Star),,,,15,30,
SW0209,Darth Vader (Death Star),,,,15,30,
SW0209,Darth Vader (Death Star),,,,15,30,
SW0209,Darth Vader (Death Star),,,,15,30,
SW0210,Emperor Palpatine,,,,15,20,
SW0210,Emperor Palpatine,,,,15,20,
SW0212,Protocol Droid,,,,15,25,
SW0214,Darth Vader,,,?,,,Mislabeled as 0004
SW0217,R2-D2,,,,6,7,
SW0217,R2-D2,,,,6,7,
SW0217,R2-D2,,,,6,7,
SW0218,Darth Vader (Chrome Black),,,56,500,800,
SW0219,Yoda,,12,3,,,
SW0220,Mace Windu,,,,10,15,
SW0221,Clone Trooper Gunner (Phase 1),15,,1,,,
SW0221,Clone Trooper Gunner (Phase 1) ,,,1,10,15,Damaged legs
SW0223,Clone Commander (Phase 1),30,,3,,,
SW0223,Clone Commander (Phase 1),30,,4,,,
SW0223,Clone Commander (Phase 1),,,20,15,30,
SW0223,Clone Commander (Phase 1),,,2,15,30,
SW0224,Count Dooku,30,,5,,,
SW0224,Count Dooku,,30,1,,,
SW0224,Count Dooku,,,4.5,,,
SW0224,Count Dooku ,,,1,,,No cape
SW0224,Count Dooku ,,,5,,,Wrong cape
SW0225,Pilot Droid,,,,10,20,
SW0227,Rocket Droid Commander,10,,,,,
SW0227,Rocket Droid Commander,10,,,,,
SW0228,Rocket Battle Droid,,,1,6,7,
SW0228,Rocket Battle Droid,,,,6,7,
SW0229,Assassin Droid,,,0.5,5,6,
SW0230,Super Battle Droid w/ Rocket arm ,,,1,8,12,mislabeled as 0092
SW0230,Super Battle Droid w/ Rocket arm ,,,1,8,12,
SW0233,Clone Trooper Jet,,,,,,
SW0233,Clone Trooper Jet,,,,,,
SW0233,Clone Trooper Jet,,,,,,
SW0233,Clone Trooper Jet,,,,,,
SW0236,Chief Chirpa,,,2,,,
SW0239,Endor Rebel Commando,9,,?,,,Wrong head
SW0241,Onaconda Farr,,,,,,
SW0242,Nute Gunray,,,,,,
SW0245,Turk Falso,,,1,10,15,
SW0245,Turk Falso,,,1,10,15,
SW0245,Turk Falso,,,1,10,15,
SW0246,Hondo Ohnaka,,,,,,
SW0247,Admiral Ackbar,,,1,8,15,
SW0247,Admiral Ackbar,12,,1,,,
SW0247,Admiral Ackbar,,,2,8,15,
SW0247,Admiral Ackbar,,,3.5,8,15,
SW0247,Admiral Ackbar,,,3.5,8,15,
SW0247,Admiral Ackbar,,,3.5,8,15,
SW0248,Mon Calamari Officer,,,,,,
SW0252,Hoth Rebel,,,,,,
SW0256,Captain Antilles,,,28,80,120,
SW0259,Hoth Rebel Trooper,9,,,,,
SW0260,Zev Senesca,,,1,5,8,
SW0260,Zev Senesca,,,1,5,8,
SW0260,Zev Senesca,,,4,5,8,
SW0262,AT-AT Driver,,,1,6,8,
SW0262,AT-AT Driver,,,1,6,8,
SW0262,AT-AT Driver,,,1,6,8,Mislabeled 0177
SW0262,AT-AT Driver,,,1,6,8,Mislabeled 0177
SW0263,Anakin Skywalker (Parka),,,1.5,7,10,
SW0264,Thi-Sen,,,1,7,12,
SW0264,Thi-Sen,,,1,7,12,
SW0265,Clone Trooper Pilot Captain Jag ,,,1,,,Mislabeled as 0118
SW0267,R4-P44,,,,,,
SW0268,Imperial TIE Fighter,9,,1,,,
SW0268,Imperial TIE Fighter,,9,1,,,
SW0268,Imperial TIE Fighter,,,1,7,9,
SW0268,Imperial TIE Fighter,,,2.5,7,9,
SW0268a,Imperial TIE Fighter,,,1,8,10,
SW0268A,Imperial TIE Fighter Pilot,,,1,8,10,
SW0268A,Imperial TIE Fighter Pilot,,,1,8,10,
SW0271,Sandtrooper,15,,3.5,,,
SW0274,Obi-Wan Kenobi (Old),,,,,,
SW0275,Boba Fett (White),,layaway,50,350,450,Sealed polybag (4597068-1)
SW0277,Darth Vader,,30,,,,
SW0277,Darth Vader,30,,,,,
SW0279,Boba Fett,,,8,,,
SW0279,Boba Fett,,,6,,,
SW0279,Boba Fett,,,4.99,,,
SW0279,Boba Fett,,,3.5,,,
SW0280,Bossk,,,1,,,
SW0280,Bossk,,,10,,,
SW0281,Clone Trooper V-Wing Pilot (Phase 2),,10,3,,,
SW0284,Aayla Secura,50,,6,,,
SW0284,Aayla Secura,,,10,,,
SW0284,Aayla Secura,,,10,,,
SW0284,Aayla Secura,,,?,,,
SW0285,Cad Bane,,Layaway,,,,
SW0289,General Maximillian Veers,,,,,,
SW0291,Hoth Rebel Trooper,,,2,0,0,Wong Head
SW0291,Hoth Rebel Trooper,,,,,,
SW0292,Luke Skywalker (Jedi Knight),,,,,,
SW0292,Luke Skywalker (Jedi Knight),,,,,,
SW0293,Imperial Officer,,,,,,
SW0293,Imperial Officer,,,,,,
SW0295,Luke Skywalker X-Wing Pilot,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0296,Mandalorian Death Watch Warrior,,,,,,
SW0297,Clone Trooper,,,1,,,"mislabeled as 0036b. wring head,helmet. damaged legs"
SW0298,"Clone Trooper, Horn Company (Phase 1)",20,,2,,,
SW0298,"Clone Trooper, Horn Company (Phase 1)",20,,1,,,
SW0298,"Clone Trooper, Horn Company (Phase 1)",,20,1,,,
SW0298,"Clone Trooper, Horn Company (Phase 1)",,20,1,,,
SW0298,"Clone Trooper, Horn Company (Phase 1)",,20,1,,,
SW0299,Clone Bomb Squad Trooper (Phase 1),,9,1,,,
SW0299,Clone Bomb Squad Trooper (Phase 1),,9,1,,,
SW0299,Clone Bomb Squad Trooper (Phase 1),,,1,,,
SW0299,Clone Bomb Squad Trooper (Phase 1) ,,,0.5,,,Wrong head
SW0299,Clone Bomb Squad Trooper (Phase 1) ,,,1,,,Wrong head
SW0299,Clone Bomb Squad Trooper (Phase 1) ,,,1,,,Wrong head
SW0300,Battle Droid Pilot (Blue),,,1,,,
SW0301,Jar Jar Binks,,,1,8,10,
SW0301,Jar Jar Binks,,,,,,
SW0302,Gungun Soldier,,,,,,
SW0303,R2-Q2,,,,,,
SW0304,Imperial V-Wing Pilot,,,1,7,12,
SW0304,Imperial V-Wing Pilot,,,,,,
SW0304,Imperial V-Wing Pilot,,,,,,
SW0306,Aurra Sing,,,3,,,
SW0307,Embo,,,?,,,
SW0308,Saesee Tiin,,,2,10,20,
SW0309,Shaak Ti,,,,,,
SW0309,Shaak Ti,,,,,,
SW0310,Luminara Unduli,,,,,,
SW0314,Captain Rex (Phase 1),,,2,120,200,
SW0314,Captain Rex (Phase 1),,,,,,
SW0314,Captain Rex (Phase 1),,,,,,
SW0315,Clone Shadow ARF Trooper (Phase 1),,layaway,39,370,500,sealed polybag (2856197-1)
SW0315,Clone Shadow ARF Trooper (Phase 1),,layaway,0,370,500,sealed polybag (2856197-1)
SW0316,Savage Opress,40,,2,,,missing armor
SW0316,Savage Opress,,18,2,,,
SW0317,Anakin Skywalker,,,?,8,12,
SW0318,Asajj Ventress,,,,,,
SW0319,Ki-Adi-Mundi,,,,,,
SW0321,Captain Panaka,,,,,,
SW0321,Captain Panaka,,,,,,
SW0323,Darth Maul,30,,,,,
SW0323,Darth Maul,25,,,,,
SW0325,Watto,,,3,25,40,
SW0326,Sebulba (Moveable arms),,15,1,,,
SW0326,Sebulba (Moveable arms),15,,1,,,
SW0326,Sebulba (Moveable arms),,,2,9,15,
SW0328,Wald,,,1,8,12,
SW0330,Commander Wolffe (Phase 1),180,,18,,,
SW0330,Commander Wolffe (Phase 1),,,21,130,200,
SW0330,Commander Wolffe (Phase 1),,,,,,
SW0330,Commander Wolffe (Phase 1),,,,,,
SW0330,Commander Wolffe (Phase 1),,,,,,
SW0331,"Clone Trooper, 104th Battalion 'Wolfpack'",,,7,60,120,No jetpack
SW0331,"Clone Trooper, 104th Battalion 'Wolfpack'",,,8,60,120,
SW0331,"Clone Trooper, 104th Battalion 'Wolfpack'",,,3,60,120,Wrong Helmet
SW0331,"Clone Trooper, 104th Battalion 'Wolfpack'",,,,,,
SW0331,"Clone Trooper, 104th Battalion 'Wolfpack'",,,,,,
SW0332,Eeth Koth,,,,,,
SW0336,Obi-Wan Kenobi (Old),,,,,,
SW0337,Princess Leia,,,,,,
SW0338,Ewok (Logray),10,,,,,
SW0338,Ewok (Logray),,,,,,
SW0339,Ewok (Tokkat),,,2,10,20,
SW0339,Ewok (Tokkat),20,,2,,,
SW0341,Commander Cody (Phase 1),,,5,,,
SW0341,Commander Cody (Phase 1),,,8,,,
SW0346,Princess Leia (Hoth),,,10,15,20,
SW0350,Dengar,,,,,,
SW0352,Admiral Piett,,,10,40,60,
SW0354,Zev Senesca,,,1,5,8,
SW0356,Han Solo (Celebration),,,,,,
SW0356,Han Solo (Celebration),,,,,,
SW0357,Han Solo (Young),,,,,,
SW0359,Commando Droid,7,,0.5,,,
SW0359,Commando Droid,7,,1,,,
SW0359,Commando Droid,7,,1,,,
SW0359,Commando Droid ,7,,1,,,
SW0359,Commando Droid ,7,,1,,,
SW0359,Commando Droid ,7,,1,,,Wrong legs
SW0359,Commando Droid ,7,,,,,
SW0359,Commando Droid ,5.87,,,,,
SW0359,Commando Droid ,7,,,,,
SW0359,Commando Droid ,7,,,,,
SW0359,Commando Droid ,7,,,,,
SW0359,Commando Droid ,7,,,,,
SW0360,Battle Droid Pilot (Blue),6,,0,,,
SW0360,Battle Droid Pilot (Blue),6,,0,,,
SW0360,Battle Droid Pilot (Blue),6,,1,,,
SW0360,Battle Droid Pilot Blue Torso,,,1,,,
SW0364,Sandtrooper,,,6,10,25,
SW0364,Sandtrooper,,,,,,
SW0365,C-3PO,,,3,,,
SW0365,C-3PO,,,3,,,
SW0366,Imperial Stormtrooper,,,2,7,12,
SW0367,Endor Rebel Commando (Dark tan vest),,,2,7,8,
SW0367,Endor Rebel Commando (Dark tan vest),,,1,7,8,
SW0368,Endor Rebel Commando (stubble),,,,,,
SW0368,Endor Rebel Commando (stubble),,,,,,
SW0371,Princess Leia (Celebration),,,,,,
SW0371,Princess Leia (Celebration),,,,,,
SW0372,Jeb Porkins,,,?,8,12,
SW0373,R5-D8,,,?,15,20,
SW0374,Death Star Trooper,,,?,,,
SW0376,Imperial Officer,,,?,8,10,Mislabeled as 0352
SW0377,ARC Trooper Hammer,,,2.5,,,
SW0377,ARC Trooper Hammer,,,?,,,
SW0377,ARC Trooper Hammer,,,2.5,30,60,
SW0377,ARC Trooper Hammer,,,3,30,60,
SW0377,ARC Trooper Hammer,,,5,30,60,
SW0377,ARC Trooper Hammer,,,3,30,60,
SW0377,ARC Trooper Hammer,,,1,30,60,
SW0377,ARC Trooper Hammer,,,3,30,60,
SW0377,ARC Trooper Hammer,,,5,30,60,
SW0377,ARC Trooper Hammer,,,2,30,60,
SW0377,ARC Trooper Hammer,,,,,,
SW0377,ARC Trooper Hammer,,,,,,
SW0378,ARF Trooper  ,,12,2,,,
SW0378,ARF Trooper  ,,,,,,
SW0378,ARF Trooper  ,,,,,,
SW0378,ARF Trooper  ,,,,,,
SW0378,ARF Trooper  ,,,,,,
SW0379,Barriss Offee,,,1,,,
SW0379,Barriss Offee,,,2,,,
SW0379,Barriss Offee,,,2,,,
SW0380,Commander Gree (Phase 1),20,,3,,,
SW0380,Commander Gree (Phase 1),15,,4,,,
SW0380,Commander Gree (Phase 1),20,,3,,,
SW0380,Commander Gree (Phase 1),,,2,10,20,Mislabeled as 0298
SW0381,Geonisian Warrioy w/ Wings,,,,,,
SW0382,Geonosian Zombie w/ Wings,,,,,,
SW0383,Sandtrooper,20,,4,,,missing pauldron
SW0383,Sandtrooper,,,4,10,20,missing pauldron
SW0384,Darth Maul,75,,,,,
SW0385,TC-14 Protocol Droid,,,18,120,200,
Sw0385,TC-14 Protocol Droid,,,12,120,200,
SW0386,Darth Vader,27.19,,,,,
SW0387,Queen Amidala (Red Dress),50,,21,,,
SW0387,Queen Amidala (Red Dress),,layaway,20,150,250,
SW0387,Queen Amidala (Red Dress),,,19,150,250,
SW0387,Queen Amidala (Red Dress),,,25,150,250,
SW0387,Queen Amidala (Red Dress),,layaway,19,150,250,
SW0387,Queen Amidala (Red Dress),,layaway,48,150,250,
SW0387,Queen Amidala (Red Dress),,,22,150,250,
SW0387,Queen Amidala (Red Dress),,,38,150,250,
SW0387,Queen Amidala (Red Dress),,,25,150,250,
SW0389,Satele Shan,,,,,,
SW0393,R3-D5,,,,,,
SW0393,R3-D5,,,,,,
SW0396,Boba Fett (Beard stubble),,,8,,,
SW0396,Boba Fett (Beard stubble),,,8,,,
SW0396,Boba Fett (Beard stubble),,,6,,,
SW0397,Kithaba,,,,,,
SW0397,Kithaba,,,,,,
SW0398,Lando Calrissian (Skiff Guard),,,,,,
SW0398,Lando Calrissian (Skiff Guard),,,,,,
SW0401,AT-ST Pilot,,,?,,,mislabeled as 0093
SW0402,Jabba the Hutt (Tan face),layaway,,22,40,80,
SW0402,Jabba the Hutt (Tan face),,,14,40,80,
SW0402,Jabba the Hutt (Tan face),,,20,40,80,
SW0402,Jabba the Hutt (Tan face),,,14,40,80,
SW0404,Bib Fortuna,20,,10,,,
SW0404,Bib Fortuna,,,6,,,
SW0405,Gamorrean Guard,,,,,,
SW0406,Oola,,60,,,,
SW0407,Boushh,,,18,95,120,
SW0408,Salacious B. Crumb,,,4,40,70,
SW0413,Darth Malgus,50 (layaway),,12.5,150,250,
SW0413,Darth Malgus,,,,,,
SW0414,Sith Trooper,,,,,,
SW0414,Sith Trooper,,,,,,
SW0415,Battle Droid Commander w/ Straight Arm,12,,1,,,
SW0416,Pre Vizsla,,,23,150,300,
SW0416,Pre Vizsla,,,20,150,300,
SW0416,Pre Vizsla,,,,150,300,
SW0419,Anakin Skywalker (Sith),,,,40,60,Sith With Cape
SW0421,Agen Kolar,,,11,110,180,
SW0422,Kit Fisto,50,,,,,
SW0427,Rebel Fleet Trooper,,,,,,
SW0427,Rebel Fleet Trooper,,,,,,
SW0431,Boba Fett (Balaclava Head),,,5,,,
SW0431,Boba Fett (Balaclava Head),,,8,,,
SW0434,Malakili,,,,,,
SW0434,Malakili,,,,,,
SW0436,Sith Trooper,,15,2,,,
SW0436,Sith Trooper,,,,,,
SW0436,Sith Trooper,,,,,,
SW0437,Rebel A-Wing Pilot,,,3,10,15,
SW0437,Rebel A-Wing Pilot,,,,,,
SW0438,Clone Trooper Sergeant (Phase 1),20,,2,,,
SW0439,501st Clone Trooper Pilot (Phase 2),39,,5,,,
SW0440,Rebel Trooper,,,,,,
SW0442,Clone Trooper (Phase 1),15,,0,,,
SW0442,Clone Trooper (Phase 1),13.08,,1,,,
SW0442,Clone Trooper (Phase 1),15,,1,,,
