Set Number,Set Name,Cost,Low Value,High Value,Notes,Sold,Location,Listing Price
75039,V-Wing Starfighter,20,,,,,Store (Built w/o figs),
75040,General Grevious Wheel Bike,24.97,,,Sold,150,Sold,
75040,General Grevious Wheel Bike,23.74,130,150,,,Store,
75040,General Grevious Wheel Bike,23.74,130,150,,,Store,149.99
75041,Vulture Droid,19.99,100,200,,,Store,
75041,Vulture Droid,19.99,100,200,,,Store,199.99
75042,Droid Gunship,46.79,100,150,,,Store,
75042,Droid Gunship,38,100,150,,,Store,149.99
75043,AT-AP,49.99,180,200,,,Store,
75043,AT-AP,55.79,180,200,,,Store,199.99
75044,Droid Tri-Fighter,28.49,120,150,Sold,149.99,Sold,149.99
75045,Republic AV-7 Anti-Vehicle Cannon,39.99,200,400,,,Store,349.99
75045,Republic AV-7 Anti-Vehicle Cannon,39.99,200,400,,,Store,349.99
75045,Republic AV-7 Anti-Vehicle Cannon,39,200,400,,,Storage,
75045,Republic AV-7 Anti-Vehicle Cannon,?,200,400,,,Store,
75046,Coruscant Police Gunship,37.39,400,500,,,Store,
75046,Coruscant Police Gunship,71,400,500,,,Store,449.99
75048,The Phantom,24.99,200,250,,,Store,249.99
75049,Snowspeeder,29.97,,,Sold,121.99,Store,149.99
75049,Snowspeeder,29.99,100,150,,,,
75050,B-Wing,49.49,,,Sold,159.99,Sold,
75050,B-Wing,39.99,100,200,,,Storage,199.99
75051,Jedi Scout Fighter,47.99,100,200,,,Store,199.99
75051,Jedi Scout Fighter,58.49,100,200,,,Store,199.99
75052,Mos Eisley Cantina,75,,,Sold,199.99,Sold,199.99
75052,Mos Eisley Cantina,50.99,,,,,Stolen,199.99
75053,The Ghost,67.99,800,900,,,Store,
75053,The Ghost,85.49,800,900,,,Store,849.99
75053,The Ghost,69.99,800,900,,,Store,849.99
75054,AT-AT,109.97,100,250,,,Store,
75054,AT-AT,81.59,100,250,,,Store,
75054,AT-AT,80.44,100,250,,,Store,229.99
75054,AT-AT,81.59,100,250,,,Store,229.99
75055,Imperial Star Destroyer,95.19,350,380,,,Store,
75055,Imperial Star Destroyer,95.19,350,380,,,Store,379.99
75055,Imperial Star Destroyer,95.19,350,380,,,Store,379.99
75058,MTT,89.99,,,Sold,400,Sold,
75058,MTT,89.99,400,450,,,Store,449.99
75059,Sandcrawler UCS,299.99,,,Sold,600,Sold,
75059,Sandcrawler UCS,269.99,,,Layaway,0,Store,599.99
75059,Sandcrawler UCS,239.99,,,Sold,599.99,Sold,599.99
75060,Slave 1 UCS,199,,,On layaway,0,"Store, on layaway",620
75060,Slave 1 UCS,199,,,Sold,635,Sold,
75060,Slave 1 UCS,188,600,700,,,Store,699.99
75072,ARC-170 Starfighter Micro,9.97,20,40,,,Store,
75072,ARC-170 Starfighter Micro,9.97,20,40,,,Store,
75072,ARC-170 Starfighter Micro,9.99,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,9.99,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,9.97,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,9.49,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,0,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,8,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,8.99,20,40,,,Storage,
75072,ARC-170 Starfighter Micro,10.99,20,40,,,Store,34.99
75072,ARC-170 Starfighter Micro,9,20,40,,,Store,
75072,ARC-170 Starfighter Micro,9,20,40,,,Store,
75072,ARC-170 Starfighter Micro,9,20,40,,,Store,
75072,ARC-170 Starfighter Micro,9,20,40,,,Store,
75072,ARC-170 Starfighter Micro,8.99,,,Sold,39.99,Sold,
75073,Vulture Droid Micro,9.49,20,40,,,Store,
75073,Vulture Droid Micro,9.49,20,40,,,Store,
75073,Vulture Droid Micro,9.99,20,40,,,Store,
75073,Vulture Droid Micro,9.99,20,40,,,Storage,
75073,Vulture Droid Micro,8,20,40,,,Store,
75073,Vulture Droid Micro,8,20,40,,,Store,
75073,Vulture Droid Micro,10.99,20,40,,,Store,34.99
75074,Snowspeeder Micro,7.47,15,30,,,Store,24.99
75074,Snowspeeder Micro,9.99,15,30,,,Store,
75074,Snowspeeder Micro,9.99,15,30,,,Store,
75074,Snowspeeder Micro,9.97,15,30,,,Storage,
75074,Snowspeeder Micro,8.99,15,30,,,Storage,
75074,Snowspeeder Micro,8.09,15,30,,,Storage,
75074,Snowspeeder Micro,8.09,15,30,,,Storage,
75074,Snowspeeder Micro,8.09,15,30,,,Storage,
75074,Snowspeeder Micro,8,15,30,,,Storage,
75074,Snowspeeder Micro,8,15,30,,,Storage,
75074,Snowspeeder Micro,7.6,15,30,,,Store,
75074,Snowspeeder Micro,7.6,15,30,,,Store,
75074,Snowspeeder Micro,7.56,15,30,,,Store,
75074,Snowspeeder Micro,7.56,15,30,,,Store,
75074,Snowspeeder Micro,7.56,15,30,,,Store,
75074,Snowspeeder Micro,10.99,15,30,,,Store,
75074,Snowspeeder Micro,8.99,15,30,,,Store,
75074,Snowspeeder Micro,?,,,Sold,29.99,Sold,
75075,AT-AT Micro,9.97,,,Sold,24.99,Store,
75075,AT-AT Micro,9.99,15,30,,,Store,
75075,AT-AT Micro,9.99,15,30,,,Store,
75075,AT-AT Micro,9.99,15,30,,,Store,
75075,AT-AT Micro,9.97,15,30,,,Store,
75075,AT-AT Micro,9.97,15,30,,,Storage,
75075,AT-AT Micro,9.97,15,30,,,Storage,
75075,AT-AT Micro,9,15,30,,,Storage,
75075,AT-AT Micro,9,15,30,,,Storage,
75075,AT-AT Micro,8.99,15,30,,,Storage,
75075,AT-AT Micro,8.89,15,30,,,Store,24.99
75075,AT-AT Micro,8.77,15,30,,,Store,24.99
75075,AT-AT Micro,8,15,30,,,Store,24.99
75075,AT-AT Micro,8,15,30,,,Store,24.99
75075,AT-AT Micro,8,15,30,,,Store,24.99
75075,AT-AT Micro,7.56,15,30,,,Store,24.99
75075,At-AT Micro,7.56,15,30,,,Store,24.99
75075,AT-AT Micro,10.99,15,30,,,Store,24.99
75075,AT-AT Micro,8.99,15,30,,,,
75076,Republic Gunship Micro,9.97,20,50,,,Store,
75076,Republic Gunship Micro,7.47,20,50,,,Store,
75076,Republic Gunship Micro,7.47,20,50,,,Store,
75076,Republic Gunship Micro,9.99,20,50,,,Storage,
75076,Republic Gunship Micro,9.99,20,50,,,Storage,
75076,Republic Gunship Micro,9.99,20,50,,,Storage,
75076,Republic Gunship Micro,9.97,20,50,,,Store,
75076,Republic Gunship Micro,9.97,20,50,,,Home,44.99
75076,Republic Gunship Micro,5.99,20,50,,,Home,44.99
75076,Republic Gunship Micro,8,20,50,,,Home,44.99
75076,Republic Gunship Micro,10.99,20,50,,,Home,44.99
75077,Homing Spider Droid Micro,9.99,15,30,,,Home,44.99
75077,Homing Spider Droid Micro,9.49,,,Sold,24.99,Sold,
75077,Homing Spider Droid Micro,9.49,15,30,,,Store,
75077,Homing Spider Droid Micro,9.49,15,30,,,Storage,
75077,Homing Spider Droid Micro,8,15,30,,,Store,24.99
75077,Homing Spider Droid Micro,10.99,15,30,,,Store,24.99
75078,Imperial Troop Transport,7.99,20,40,Combine figures worth $40,,Store,39.99
75078,Imperial Troop Transport,12.97,20,40,,,Store,39.99
75078,Imperial Troop Transport,12.97,20,40,,,Store,39.99
75078,Imperial Troop Transport,12.34,20,40,,,Store,39.99
75078,Imperial Troop Transport,12.34,20,40,,,Store,39.99
75078,Imperial Troop Transport,12.34,20,40,,,Store,39.99
75078,Imperial Troop Transport,12.34,20,40,,,Home,
75078,Imperial Troop Transport,11.19,20,40,,,Home,
75078,Imperial Troop Transport,11.19,20,40,,,Home,
75078,Imperial Troop Transport,12.99,,5,,,Store (Built w/o figs),
75078,Imperial Troop Transport,12.99,,,Sold,35.99,Sold,
75078,Imperial Troop Transport,12.99,,,Sold,39.99,Sold,
75078,Imperial Troop Transport,12.99,,,Sold,39.99,Sold,
75078,Imperial Troop Transport,12.99,,,Sold,39.99,Sold,
75078,Imperial Troop Transport,7.99,,,Sold,39.99,Sold,
75079,Shadow Troopers,10.39,30,50,,,Crack,
75079,Shadow Troopers,12.97,30,50,,,Crack,
75079,Shadow Troopers,9.51,30,50,,,Crack,
75079,Shadow Troopers,12.97,30,50,,,Store,
75079,Shadow Troopers,12.97,30,50,,,Store,
75079,Shadow Troopers,12.97,30,50,,,Store,
75079,Shadow Troopers,11.19,30,50,,,Storage,
75079,Shadow Troopers,12.99,30,50,,,Storage,
75079,Shadow Troopers,12.99,30,50,,,Store,49.99
75079,Shadow Troopers,12.99,30,50,,,Store,49.99
75079,Shadow Troopers,12.99,30,50,,,Store,49.99
75079,Shadow Troopers,12.99,30,50,,,Store,49.99
75079,Shadow Troopers,9.99,30,50,,,Store,49.99
75079,Shadow Troopers,9.89,30,50,,,Store,49.99
75079,Shadow Troopers,9.89,,5,,,Store (Built w/o figs),
75079,Shadow Troopers,10.49,30,50,,,,
75080,AAT,24.29,,,Sold,89.99,Store,89.99
75080,AAT,23.74,45,100,,,Store,89.99
75080,AAT,22.99,,,Sold,89.99,Sold,
75081,T-16 Skyhopper,24.97,40,60,,,Store,59.99
75081,T-16 Skyhopper,23.74,40,60,,,Store,
75082,TIE Advanced Prototype,39.97,150,250,,,Store,
75082,TIE Advanced Prototype,39.97,150,250,,,Store,
75082,TIE Advanced Prototype,39.97,150,250,,,Store,229.99
75082,TIE Advanced Prototype,39.97,150,250,,,Store,229.99
75082,TIE Advanced Prototype,0,150,250,,,Storage,
75083,AT-DP,49.97,150,200,,,Store,
75083,AT-DP,37.39,150,200,,,Storage,199.99
75083,AT-DP,49.99,150,200,,,Storage,
75084,Wookie Gunship,50.99,,,Sold,150,Sold,
75084,Wookie Gunship,69.99,160,200,,,Store,199.99
75085,Hailfire Droid,19.99,70,150,,,Store,
75085,Hailfire Droid,18.99,70,150,,,Storage,
75085,Hailfire Droid,19.99,70,150,,,Storage,
75085,Hailfire Droid,18.99,70,150,,,Store,139.99
75085,Hailfire Droid,18,70,150,,,Store,139.99
75086,Battle Droid Troop Carrier,29.23,,,Sold,159.99,Store,199.99
75086,Battle Droid Troop Carrier,38.69,100,200,,,Store,149.99
75086,Battle Droid Troop Carrier,38.69,,,Sold,159.99,Sold,
75087,Anakin's Custom Jedi Starfighter,29.23,200,300,,,Store,
75087,Anakin's Custom Jedi Starfighter,39.97,200,300,,,Store,
75087,Anakin's Custom Jedi Starfighter,39.97,200,300,,,Storage,
75088,Senate Command Troopers,10.39,40,60,Figures combined value $60,,Crack,
75088,Senate Command Troopers,12.97,40,60,,,Crack,
75088,Senate Command Troopers,12.97,40,60,,,Store,
75088,Senate Command Troopers,12.99,40,60,,,Storage,
75088,Senate Command Troopers,12.99,40,60,,,Storage,
75088,Senate Command Troopers,12.99,40,60,,,Store,59.99
75088,Senate Command Troopers,12.99,40,60,,,Store,59.99
75088,Senate Command Troopers,12.99,40,60,,,Store,59.99
75088,Senate Command Troopers,7.99,,5,,,Store (built w/o figs),
75088,Senate Command Troopers,9.19,,,Sold,54.99,Sold,
75089,Genosis Troopers,7.99,50,75,,,Crack,
75089,Geonosis Troopers,9.51,50,75,Figure combined value $80,,Crack,
75089,Geonosis Troopers,12.97,50,75,,,Crack,
75089,Geonosis Troopers,12.97,50,75,,,Crack,
75089,Geonosis Troopers,12.59,50,75,,,Store,
75089,Geonosis Troopers,12.97,50,75,,,Store,
75089,Geonosis Troopers,11.19,50,75,,,Store,
75089,Geonosis Troopers,11.19,50,75,,,Storage,
75089,Geonosis Troopers,11.19,,5,,,Store (Built w/o figs),
75089,Geonosis Troopers,12.99,50,75,,,Store,69.99
75089,Geonosis Troopers,12.99,50,75,,,Store,69.99
75089,Geonosis Troopers,12.99,50,75,,,Store,69
75089,Geonosis Troopers,12.99,50,75,,,Store,69.99
75089,Geonosis Troopers,12.99,50,75,,,Store,69.99
75089,Geonosis Troopers,9.89,50,75,,,Store,69.99
75089,Geonosis Troopers,10.39,50,75,,,Store,69.99
75090,Ezra's Speeder Bike,19.97,90,120,,,Store,
75090,Ezra's Speeder Bike,19.97,90,120,"Box opened, will certify",,Store,
75090,Ezra's Speeder Bike,19.99,,,Sold,100,Sold,
75090,Ezra's Speeder Bike,19.97,90,120,,,Store,119.99
75091,Flash Speeder,29.24,40,60,,,Store,59.99
75092,Naboo Starfighter,49.99,150,250,,,Store,
75092,Naboo Starfighter,39.99,150,250,,,Store,229.99
75093,Death Star Final Dual,76.49,100,150,,,Store,149.99
75093,Death Star Final Dual,71.09,100,150,,,Store,149.99
75093,Death Star Final Dual,56,100,150,,,Storage,
75094,Imperial Shuttle Tydirium,94.49,150,250,,,Store,
75094,Imperial Shuttle Tydirium,75,150,250,,,Store,229.99
75094,Imperial Shuttle Tydirium,74.99,150,250,,,Storage,
75095,TIE Fighter UCS,189.99,,,Sold,299.99,Sold,239.99
75095,TIE Fighter UCS,189.99,,,Sold,300,Sold,339.99
75096,Sith Infiltrator,85.49,,,Sold,299.99,Sold,299.99
75096,Sith Infiltrator,79,250,300,,,Store,299.99
75096,Sith Infiltrator,35.39,,,,299.99,Sold,
75098,Assault on Hoth UCS,232.5,,,Sold,700,Sold,
75098,Assault on Hoth UCS,229.99,650,700,,,Store,
75098,Assault on Hoth UCS,224.99,650,700,,,Storage,
75099,Rey's Speeder,17.99,20,40,,,Store,
75099,Rey's Speeder,14,20,40,,,Storage,
75099,Rey's Speeder,13,20,40,,,Storage,
75099,Rey's Speeder,12.27,20,40,,,Storage,
75099,Rey's Speeder,?,20,40,,,Home,
75100,First Order Snowspeeder,31,40,60,,,Store,
75100,First Order Snowspeeder,29.99,40,60,,,Storage,
75101,First Order Special Forces TIE Fighter,50,80,120,,,Store,
75101,First Order Special Forces TIE Fighter,39.99,80,120,,,Store,119.99
75101,First Order Special Forces TIE Fighter,55,80,120,,,Storage,
75102,Poe's X-Wing Fighter,79.99,80,150,,,Store,129.99
75102,Poe's X-Wing Fighter,79.99,80,150,,,Store,129.99
75102,Poe's X-Wing Fighter,74.39,80,150,,,,
75103,First Order Transport,69,150,300,,,Store,
75103,First Order Transporter,70,150,300,,,Store,
75103,First Order Transporter,60.51,150,300,,,Storage,
75103,First Order Transporter,56,150,300,,,Store,299.99
75103,First Order Transporter,?,150,300,,,Store,299.99
75103,First Order Transporter,?,150,300,,,Home,
75104,Kylo Ren's Command Shuttle,84,90,150,,,Store,149.99
75104,Kylo Ren's Command Shuttle,85.89,90,150,,,Store,149.99
75104,Kylo Ren's Command Shuttle,69,90,150,,,Storage,
75105,Millennium Falcon,119,120,200,,,Storage,
75105,Millennium Falcon,134.99,120,200,,,Storage,
75105,Millennium Falcon,111,,,Layaway,0,Store,199.99
75105,Millennium Falcon,129,,,Sold (Built w/figs),64,Sold,
75105,Millennium Falcon,99.99,120,200,,,,
75106,Imperial Assault Carrier,85,360,400,,,Store,399.99
75106,Imperial Assault Carrier,79.99,360,400,,,Store,
75110,Luke Skywalker (Technic),?,,,,,Store (Built),
75111,Darth Vader (Technic),?,,,Sold,64.99,Sold,64.99
75111,Darth Vader (Technic),?,50,70,,,Store,64.99
75112,General Grevious (Technic),?,,,,,Home,
75117,Kylo Ren (Technic),?,30,50,,,Store,49.99
75117,Kylo Ren (Technic),?,30,50,,,Store,49.99
75125,Resistance X-Wing Fighter Micro,9,15,20,,,Store,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Store,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Store,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8.88,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,9,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,9,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,9,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,7.56,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8.99,15,20,,,Storage,
75125,Resistance X-Wing Fighter Micro,8.99,,,Sold,19.99,Store,19.99
75125,Resistance X-Wing Fighter Micro,8.84,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,8.84,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,6.12,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Store,19.99
